City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
151,Port Lincoln,AU,-34.7333,135.8667,62.98,54,99,16.44,overcast clouds
152,Vaini,TO,-21.2,-175.2,87.96,70,40,10.36,scattered clouds
153,Hobyo,SO,5.3505,48.5268,77.18,81,100,17.02,overcast clouds
154,Belmonte,BR,-15.8631,-38.8828,79.3,84,1,8.3,clear sky
155,Muros,ES,42.7762,-9.0603,53.24,81,0,7.16,clear sky
156,Banjar,ID,-8.19,114.9675,85.86,74,86,0.89,overcast clouds
157,Amos,CA,48.5669,-78.1162,29.17,90,100,17.83,overcast clouds
158,Ahipara,NZ,-35.1667,173.1667,76.17,64,100,15.3,overcast clouds
159,Vardo,NO,70.3705,31.1107,28.18,61,100,7.27,overcast clouds
160,Culiacan,MX,24.7994,-107.3897,71.28,45,0,4.61,clear sky
161,Bukachacha,RU,52.9833,116.9167,-12.32,92,17,3.24,few clouds
162,Klaksvik,FO,62.2266,-6.589,36.52,76,100,18.66,overcast clouds
163,Lata,PT,40.1629,-8.3327,52.81,77,0,3.83,clear sky
164,Ortigueira,BR,-24.2083,-50.9494,66.38,92,100,2.84,overcast clouds
165,Nagod,IN,24.5667,80.6,56.59,55,0,3.6,clear sky
166,Tulun,RU,54.5611,100.5792,-13.81,100,96,2.77,overcast clouds
167,Vila Franca Do Campo,PT,37.7167,-25.4333,57.2,79,62,11.32,broken clouds
168,Maniitsoq,GL,65.4167,-52.9,7.99,80,100,10.42,light snow
169,Suntar,RU,62.1444,117.6319,-29.36,99,89,3.24,overcast clouds
170,Tuktoyaktuk,CA,69.4541,-133.0374,-27.4,68,20,3.44,few clouds
171,Bengkulu,ID,-3.8004,102.2655,74.5,81,100,5.1,moderate rain
172,Mitu,CO,1.1983,-70.1733,76.21,64,100,2.59,overcast clouds
173,Adrar,MR,20.5022,-10.0711,69.13,18,98,10.16,overcast clouds
174,Komsomolskiy,UZ,40.4272,71.7189,30.92,74,100,6.91,mist
175,Sakaiminato,JP,35.55,133.2333,39.18,87,75,9.22,broken clouds
176,Dosso,NE,13.049,3.1937,63.59,12,100,9.71,overcast clouds
177,Grindavik,IS,63.8424,-22.4338,30.67,100,75,9.22,snow
178,Shu,KZ,43.5983,73.7614,29.23,71,0,1.92,clear sky
179,Palmer,US,42.1584,-72.3287,31.03,73,99,3.02,overcast clouds
180,Saskylakh,RU,71.9167,114.0833,-28.21,100,35,1.74,scattered clouds
181,Mocuba,MZ,-16.8392,36.9856,69.69,98,0,1.5,clear sky
182,Shanting,CN,35.0753,117.4578,32.52,35,100,3.47,overcast clouds
183,Ilhabela,BR,-23.7781,-45.3581,74.82,92,100,2.66,overcast clouds
184,Abashiri,JP,44.0213,144.2697,27.95,63,40,6.91,scattered clouds
185,Flin Flon,CA,54.7682,-101.865,-9.0,87,100,10.8,overcast clouds
186,Kedrovyy,RU,56.1667,91.8167,-8.99,93,99,3.15,overcast clouds
187,Preobrazheniye,RU,42.9019,133.9064,17.01,52,0,7.58,clear sky
188,Hovd,MN,48.0056,91.6419,-7.2,89,100,1.39,overcast clouds
189,Salme,NP,28.0369,85.0942,34.09,57,2,7.47,clear sky
190,Hammerfest,NO,70.6634,23.6821,23.45,46,67,3.44,broken clouds
191,Port Alfred,ZA,-33.5906,26.891,77.63,76,100,5.93,overcast clouds
192,Yar-Sale,RU,66.8333,70.8333,-16.02,99,39,7.45,scattered clouds
193,Hilo,US,19.7297,-155.09,76.73,75,75,5.75,broken clouds
194,Sao Filipe,CV,14.8961,-24.4956,73.35,78,27,11.7,scattered clouds
195,Maues,BR,-3.3836,-57.7186,74.19,95,26,1.59,scattered clouds
196,Katherine,AU,-14.4667,132.2667,84.52,70,42,16.11,scattered clouds
197,Zhuhai,CN,22.2769,113.5678,60.69,88,40,14.97,scattered clouds
198,Zalantun,CN,48.0,122.7167,-3.21,79,88,7.47,overcast clouds
199,Malanje,AO,-9.5402,16.341,61.61,94,96,4.09,overcast clouds
200,Ovsyanka,RU,55.9575,92.5519,-6.63,95,100,3.87,overcast clouds
201,Qaanaaq,GL,77.484,-69.3632,-20.85,64,100,11.99,overcast clouds
202,Pavlysh,UA,48.9176,33.3569,27.12,93,100,4.25,overcast clouds
203,Lompoc,US,34.6391,-120.4579,61.57,43,0,13.8,clear sky
204,San Felipe,VE,10.3399,-68.7425,69.71,98,50,3.36,scattered clouds
205,Nikolskoye,RU,59.7035,30.7861,22.89,98,99,2.08,snow
206,Ayr,GB,55.4627,-4.6339,47.32,93,75,8.05,broken clouds
207,Airai,TL,-8.9266,125.4092,69.6,63,100,4.09,overcast clouds
208,Puqi,CN,29.7167,113.8833,36.68,99,100,3.74,light rain
209,Norman Wells,CA,65.282,-126.8329,-25.56,75,20,0.0,few clouds
210,Clonakilty,IE,51.6231,-8.8706,47.41,88,12,9.04,few clouds
211,Guerrero Negro,MX,27.9769,-114.0611,61.05,70,89,12.93,overcast clouds
212,Vanimo,PG,-2.6741,141.3028,83.71,69,77,2.21,moderate rain
213,Kaitangata,NZ,-46.2817,169.8464,73.92,67,100,12.77,overcast clouds
214,Muzhi,RU,65.3667,64.6667,-24.16,100,98,1.01,overcast clouds
215,Verkhnetulomskiy,RU,68.6073,31.7962,-5.67,100,100,1.41,overcast clouds
216,Sampit,ID,-2.5333,112.95,77.23,91,99,1.52,overcast clouds
217,Bachatskiy,RU,54.2927,86.1285,1.44,98,100,3.22,overcast clouds
218,Puerto Colombia,CO,10.9878,-74.9547,78.89,83,5,23.24,clear sky
219,Caravelas,BR,-17.7125,-39.2481,76.53,93,26,7.61,scattered clouds
220,Mahanoro,MG,-19.9,48.8,72.5,90,100,8.79,light rain
221,Kruisfontein,ZA,-34.0033,24.7314,72.88,65,100,3.74,overcast clouds
222,Soma,TR,39.1855,27.6094,51.98,87,100,6.24,overcast clouds
223,Mogadishu,SO,2.0371,45.3438,77.94,89,100,18.03,overcast clouds
224,Mucuri,BR,-18.0864,-39.5508,78.67,86,100,10.65,overcast clouds
225,Port Hardy,CA,50.6996,-127.4199,41.18,87,75,2.3,broken clouds
226,Laguna,US,38.421,-121.4238,58.84,30,0,8.01,clear sky
227,Severo-Kurilsk,RU,50.6789,156.125,30.99,74,100,11.25,overcast clouds
228,Villazon,BO,-22.0866,-65.5942,48.69,78,59,8.28,broken clouds
229,Bowen,AU,-20.0167,148.2333,89.82,66,100,7.52,overcast clouds
230,Yamada,JP,39.4667,141.95,36.7,42,96,7.31,overcast clouds
231,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,82.33,25,15,7.16,few clouds
232,Lae,PG,-6.7221,146.9847,81.27,84,100,5.03,moderate rain
233,Yenagoa,NG,4.9247,6.2642,75.78,79,10,3.42,clear sky
234,Buala,SB,-8.145,159.5921,84.45,75,75,8.23,light rain
235,Ilebo,CD,-4.3167,20.5833,72.09,92,100,0.72,light rain
236,Honningsvag,NO,70.9821,25.9704,26.56,64,97,14.56,overcast clouds
237,Majene,ID,-3.5403,118.9707,84.81,66,93,4.03,overcast clouds
238,Zhigansk,RU,66.7697,123.3711,-26.82,99,90,9.01,overcast clouds
239,Lorengau,PG,-2.0226,147.2712,78.93,83,100,6.33,overcast clouds
240,Manggar,ID,-2.8833,108.2667,83.98,65,26,5.57,scattered clouds
241,Rocha,UY,-34.4833,-54.3333,59.18,76,0,6.11,clear sky
242,Surt,LY,31.2089,16.5887,54.59,60,28,28.32,scattered clouds
243,Bathsheba,BB,13.2167,-59.5167,79.41,78,75,13.8,broken clouds
244,Victoria,HK,22.2855,114.1577,60.94,93,100,1.99,overcast clouds
245,Half Moon Bay,US,37.4636,-122.4286,61.02,39,0,3.0,haze
246,Yerbogachen,RU,61.2767,108.0108,-29.69,100,49,1.83,scattered clouds
247,Kavaratti,IN,10.5669,72.642,80.28,68,5,9.55,clear sky
248,Nicolas Bravo,MX,18.45,-88.9167,67.37,97,0,2.98,clear sky
249,Meulaboh,ID,4.1363,96.1285,78.85,80,43,4.65,scattered clouds
250,Shirokovskiy,RU,58.8424,57.7832,27.95,92,100,9.24,overcast clouds
251,Provideniya,RU,64.3833,-173.3,14.11,62,0,20.13,clear sky
252,Praia Da Vitoria,PT,38.7333,-27.0667,59.25,77,40,11.99,scattered clouds
253,Leshukonskoye,RU,64.8989,45.7622,12.54,95,100,6.08,overcast clouds
254,Aracruz,BR,-19.8203,-40.2733,74.41,95,53,1.21,very heavy rain
255,Acari,PE,-15.4311,-74.6158,73.29,77,10,4.18,clear sky
256,Portland,US,45.5234,-122.6762,44.53,81,20,3.0,few clouds
257,Chiredzi,ZW,-21.05,31.6667,69.64,79,0,2.26,clear sky
258,Saint-Augustin,CA,51.226,-58.6502,-12.59,90,3,6.06,clear sky
259,Kirakira,SB,-10.4544,161.9205,82.94,81,74,7.92,broken clouds
260,Launceston,AU,-41.45,147.1667,67.6,41,40,5.01,scattered clouds
261,Chokurdakh,RU,70.6333,147.9167,-14.26,96,100,5.17,overcast clouds
262,Zyryanka,RU,65.75,150.85,-8.9,90,100,6.71,overcast clouds
263,Ostrovnoy,RU,68.0531,39.5131,19.27,91,100,9.15,overcast clouds
264,Rundu,NA,-17.9333,19.7667,63.43,96,99,4.76,overcast clouds
265,Haines Junction,CA,60.7522,-137.5108,-18.45,76,100,1.14,overcast clouds
266,Olafsvik,IS,64.8945,-23.7142,36.18,65,100,19.01,light rain
267,Tuensang,IN,26.2833,94.8333,50.09,91,76,2.08,broken clouds
268,Isla Mujeres,MX,21.2311,-86.731,75.25,69,1,11.39,clear sky
269,Tame,CO,6.461,-71.73,77.59,42,100,5.66,overcast clouds
270,Broome,US,42.2506,-75.833,31.82,64,0,4.0,clear sky
271,Marathon,US,44.9,-89.7668,18.28,63,0,14.97,clear sky
272,Porto Belo,BR,-27.1578,-48.5531,77.16,86,8,6.98,clear sky
273,Cidreira,BR,-30.1811,-50.2056,72.64,74,0,13.4,clear sky
274,Takhtamygda,RU,54.1,123.5667,-3.14,69,21,4.59,few clouds
275,Killarney,IE,52.05,-9.5167,45.36,92,46,5.39,scattered clouds
276,Shimoda,JP,34.6667,138.95,50.36,44,1,12.33,clear sky
277,Vila Velha,BR,-20.3297,-40.2925,75.15,93,100,13.0,thunderstorm with rain
278,Zaragoza,ES,41.6561,-0.8773,47.01,64,0,14.0,clear sky
279,Evensk,RU,61.95,159.2333,20.91,78,100,23.51,overcast clouds
280,Mareeba,AU,-17.0,145.4333,88.48,88,100,6.11,overcast clouds
281,Dubbo,AU,-32.25,148.6167,77.13,78,100,5.75,overcast clouds
282,Vao,NC,-22.6667,167.4833,78.39,83,99,20.42,overcast clouds
283,Sola,VU,-13.8833,167.55,80.17,80,100,13.85,light rain
284,Kavieng,PG,-2.5744,150.7967,81.79,74,100,6.08,light rain
285,Ribeira Grande,PT,38.5167,-28.7,59.63,74,68,13.24,broken clouds
286,Berlevag,NO,70.8578,29.0864,21.83,74,76,8.68,broken clouds
287,Enna,IT,37.5588,14.2892,42.76,65,0,14.05,clear sky
288,Samana,DO,19.2056,-69.3369,72.63,89,35,8.48,scattered clouds
289,Raudeberg,NO,61.9875,5.1352,36.27,88,93,1.99,overcast clouds
290,Plettenberg Bay,ZA,-34.0527,23.3716,73.45,84,100,2.39,overcast clouds
291,Margate,GB,51.3813,1.3862,51.04,78,100,7.0,overcast clouds
292,Kolpashevo,RU,58.3131,82.9089,14.16,96,99,6.71,overcast clouds
293,Leningradskiy,RU,69.3833,178.4167,-9.2,93,35,10.96,scattered clouds
294,Narsaq,GL,60.9167,-46.05,14.22,83,14,4.72,few clouds
295,Nargana,PA,9.4428,-78.5906,79.0,75,86,11.45,overcast clouds
296,Saryg-Sep,RU,51.5,95.6,-23.67,99,96,2.68,overcast clouds
297,Lagoa,PT,39.05,-27.9833,58.95,71,13,13.33,few clouds
298,Qaqortoq,GL,60.7167,-46.0333,14.5,89,8,4.5,clear sky
299,Nhulunbuy,AU,-12.2333,136.7667,86.61,79,75,8.05,broken clouds
300,West Wendover,US,40.7391,-114.0733,26.33,45,14,5.84,few clouds
301,Beringovskiy,RU,63.05,179.3167,1.9,84,91,17.38,overcast clouds
302,Catania,IT,37.5021,15.0872,49.78,55,0,4.0,clear sky
303,Jasper,US,37.2001,-94.3502,54.82,89,100,4.0,heavy intensity rain
304,Upernavik,GL,72.7868,-56.1549,-13.7,75,100,5.77,overcast clouds
305,Shestakovo,RU,56.4915,103.96,-2.11,98,100,3.38,overcast clouds
306,Lodwar,KE,3.1191,35.5973,83.41,41,100,6.78,overcast clouds
307,Berbera,SO,10.4396,45.0143,75.85,81,99,2.59,light rain
308,Chuy,UY,-33.6971,-53.4616,63.12,72,0,6.73,clear sky
309,Lazo,RU,43.3817,133.9014,14.25,69,24,7.23,few clouds
310,Shelburne,CA,44.0787,-80.2041,36.05,72,100,18.81,overcast clouds
311,Dudinka,RU,69.4058,86.1778,2.62,93,99,12.73,overcast clouds
312,Waghai,IN,20.7667,73.4833,64.44,52,4,3.49,clear sky
313,Ishinomaki,JP,38.4167,141.3,37.4,55,46,24.85,scattered clouds
314,Verkhnyaya Inta,RU,65.9811,60.3094,2.97,84,97,8.84,overcast clouds
315,Nanfeng,CN,23.7434,111.7959,48.25,91,100,4.54,overcast clouds
316,Stuttgart,DE,48.7823,9.177,45.01,90,40,6.91,scattered clouds
317,Pozo Colorado,PY,-23.4923,-58.7972,87.24,35,85,3.91,overcast clouds
318,Chuchkovo,RU,54.2693,41.4465,18.25,95,97,10.4,overcast clouds
319,Boguchany,RU,58.3814,97.4531,-13.38,100,85,2.39,overcast clouds
320,Mackay,AU,-21.15,149.2,91.69,62,40,10.36,scattered clouds
321,Wasilla,US,61.5814,-149.4394,27.28,77,100,12.66,light snow
322,Hauterive,FR,46.0901,3.4459,46.02,98,100,5.46,overcast clouds
323,Conselheiro Pena,BR,-19.1722,-41.4722,75.87,89,100,1.57,light rain
324,Beyneu,KZ,45.3167,55.2,33.12,83,6,8.3,clear sky
325,Mahon,ES,39.8885,4.2658,48.76,87,0,5.75,clear sky
326,Port Augusta,AU,-32.5,137.7667,72.72,27,0,20.51,clear sky
327,Gat,IL,31.61,34.7642,53.91,100,0,2.8,clear sky
328,Aljezur,PT,37.3191,-8.8033,51.94,56,0,4.5,clear sky
329,Myski,RU,53.709,87.8014,-1.21,100,51,2.55,broken clouds
330,Tura,IN,25.5198,90.2201,57.65,62,0,2.01,clear sky
331,Alofi,NU,-19.0595,-169.9187,76.89,94,75,11.5,light intensity drizzle
332,Mahibadhoo,MV,3.7833,72.9667,82.27,77,2,12.82,clear sky
333,Velika Obarska,BA,44.8053,19.1642,27.9,83,21,5.26,few clouds
334,Klyuchi,RU,52.2667,79.1667,6.37,95,96,5.48,overcast clouds
335,Tahoua,NE,14.8888,5.2692,60.51,14,87,8.43,overcast clouds
336,Road Town,VG,18.4167,-64.6167,77.09,83,20,9.22,few clouds
337,Ada,US,43.4166,-116.1262,31.55,64,100,3.0,overcast clouds
338,Wanning,CN,18.8003,110.3967,70.88,87,87,6.22,overcast clouds
339,Sheridan,US,44.8333,-106.9173,16.66,65,40,1.01,scattered clouds
340,Bellefontaine,US,40.3612,-83.7597,46.56,72,75,10.36,broken clouds
341,Yavoriv,UA,49.9386,23.3825,32.76,78,100,15.21,light snow
342,Izumo,JP,35.3667,132.7667,39.15,87,75,3.44,light rain
343,Pevek,RU,69.7008,170.3133,-6.52,80,100,3.24,overcast clouds
