City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
157,Port Lincoln,AU,2022-02-01 22:59:43,-34.7333,135.8667,61.57,54,81,16.46
158,Areosa,PT,2022-02-01 22:59:44,41.7178,-8.8571,63.16,70,0,5.79
159,Kodiak,US,2022-02-01 22:59:44,57.79,-152.4072,38.71,93,100,8.05
160,Praia Da Vitoria,PT,2022-02-01 22:59:45,38.7333,-27.0667,59.25,82,40,11.68
161,Hwange,ZW,2022-02-01 22:59:45,-18.3693,26.5019,67.37,96,5,2.35
162,Walvis Bay,NA,2022-02-01 22:59:45,-22.9575,14.5053,69.1,83,49,4.03
163,Bengkulu,ID,2022-02-01 22:59:46,-3.8004,102.2655,74.26,81,100,6.4
164,Hashtrud,IR,2022-02-01 22:59:46,37.4779,47.0508,3.7,97,76,2.01
165,Touros,BR,2022-02-01 22:59:47,-5.1989,-35.4608,81.5,76,46,11.43
166,Bredasdorp,ZA,2022-02-01 22:59:47,-34.5322,20.0403,74.03,80,5,1.7
167,Vardo,NO,2022-02-01 22:59:47,70.3705,31.1107,19.6,68,71,5.44
168,Fortuna,US,2022-02-01 22:59:48,40.5982,-124.1573,55.47,61,0,1.99
169,Kununurra,AU,2022-02-01 22:59:48,-15.7667,128.7333,82.38,78,75,9.22
170,Petropavlovsk-Kamchatskiy,RU,2022-02-01 22:59:48,53.0452,158.6483,28.99,100,100,24.61
171,Maloy,NO,2022-02-01 22:59:49,61.9353,5.1136,35.44,92,98,4.0
172,Galle,LK,2022-02-01 22:57:10,6.0367,80.217,72.01,88,9,5.57
173,Pevek,RU,2022-02-01 22:59:49,69.7008,170.3133,-8.77,80,99,3.83
174,Batagay,RU,2022-02-01 22:59:50,67.6333,134.6333,-19.77,98,100,1.16
175,Avera,US,2022-02-01 22:59:50,33.194,-82.5271,62.11,63,0,7.16
176,Nadym,RU,2022-02-01 22:59:51,65.5333,72.5167,-17.01,100,81,5.88
177,Airai,TL,2022-02-01 22:59:51,-8.9266,125.4092,63.73,77,58,2.84
178,Albert,FR,2022-02-01 22:59:51,50.0009,2.651,50.79,89,0,13.8
179,Aklavik,CA,2022-02-01 22:59:52,68.2191,-135.0107,-10.37,84,75,2.3
180,San Quintin,MX,2022-02-01 22:59:52,30.4833,-115.95,61.05,64,47,12.08
181,Hobyo,SO,2022-02-01 22:59:53,5.3505,48.5268,77.31,83,100,17.02
182,Saldanha,ZA,2022-02-01 22:59:53,-33.0117,17.9442,66.25,97,38,12.41
183,Andenes,NO,2022-02-01 22:59:54,69.3143,16.1194,26.58,54,100,16.11
184,Khash,IR,2022-02-01 23:00:54,28.2211,61.2158,55.06,44,0,15.77
185,Tabas,IR,2022-02-01 23:00:54,33.5959,56.9244,42.93,74,83,11.14
186,Luanda,AO,2022-02-01 23:00:55,-8.8368,13.2343,76.24,78,85,6.91
187,Alofi,NU,2022-02-01 23:00:55,-19.0595,-169.9187,79.48,69,0,3.0
188,Puerto Ayora,EC,2022-02-01 22:57:23,-0.7393,-90.3518,82.36,93,71,1.99
189,Lokoja,NG,2022-02-01 23:00:56,7.8024,6.743,77.83,18,2,2.44
190,Sinop,TR,2022-02-01 23:00:56,41.7711,34.8709,34.07,86,99,16.37
191,Grand Gaube,MU,2022-02-01 23:00:57,-20.0064,57.6608,80.38,85,100,17.0
192,Taltal,CL,2022-02-01 23:00:21,-25.4,-70.4833,67.55,73,21,4.18
193,Hithadhoo,MV,2022-02-01 23:00:57,-0.6,73.0833,82.47,72,4,12.53
194,Khatanga,RU,2022-02-01 23:00:58,71.9667,102.5,-36.99,99,22,2.77
195,Talnakh,RU,2022-02-01 22:56:30,69.4865,88.3972,4.21,96,100,8.34
196,Thompson,CA,2022-02-01 23:00:58,55.7435,-97.8558,-16.13,85,70,10.89
197,Benguela,AO,2022-02-01 23:00:59,-12.5763,13.4055,74.98,74,74,2.06
198,Leh,IN,2022-02-01 23:00:51,34.1667,77.5833,-7.83,78,50,2.82
199,Samana,DO,2022-02-01 23:00:21,19.2056,-69.3369,73.29,86,7,9.01
200,Mount Gambier,AU,2022-02-01 23:01:00,-37.8333,140.7667,58.93,49,68,9.4
201,Jalu,LY,2022-02-01 23:01:01,29.0331,21.5482,56.16,36,58,13.73
202,Souillac,MU,2022-02-01 23:01:02,-20.5167,57.5167,80.37,93,100,29.59
203,San Patricio,US,2022-02-01 23:01:03,28.017,-97.5169,76.53,47,5,3.49
204,Moranbah,AU,2022-02-01 23:01:04,-22.0016,148.0466,84.36,61,99,9.06
205,Tortosa,ES,2022-02-01 23:01:04,40.8125,0.5216,52.45,73,0,11.56
206,Flinders,AU,2022-02-01 23:01:05,-34.5833,150.8552,69.19,86,100,8.99
207,Pecos,US,2022-02-01 23:01:05,31.4229,-103.4932,69.89,13,0,9.22
208,Buala,SB,2022-02-01 23:01:05,-8.145,159.5921,83.07,80,100,8.79
209,Chumikan,RU,2022-02-01 23:01:06,54.7183,135.315,-11.25,89,31,12.86
210,Evensk,RU,2022-02-01 23:01:06,61.95,159.2333,20.17,79,100,25.7
211,Yarovoye,RU,2022-02-01 23:01:07,52.9273,78.58,10.38,94,100,6.2
212,Karratha,AU,2022-02-01 23:01:07,-20.7377,116.8463,83.59,76,95,10.13
213,Mount Isa,AU,2022-02-01 23:00:16,-20.7333,139.5,82.17,74,92,10.36
214,Nemuro,JP,2022-02-01 23:01:07,43.3236,145.575,23.36,74,13,16.58
215,Killybegs,IE,2022-02-01 23:01:08,54.6333,-8.45,48.45,91,100,21.41
216,Tallahassee,US,2022-02-01 22:58:19,30.4383,-84.2807,64.6,53,98,3.0
217,Tura,IN,2022-02-01 23:01:08,25.5198,90.2201,51.84,78,1,3.83
218,Aykhal,RU,2022-02-01 23:01:09,66.0,111.5,-22.13,100,11,3.2
219,Fairbanks,US,2022-02-01 22:58:55,64.8378,-147.7164,4.24,73,5,1.86
220,Moramanga,MG,2022-02-01 23:01:10,-18.9333,48.2,64.33,88,100,5.44
221,Nantucket,US,2022-02-01 23:01:10,41.2835,-70.0995,37.51,74,100,9.22
222,Azare,NG,2022-02-01 23:01:11,11.6765,10.1948,60.82,17,1,8.08
223,Anadyr,RU,2022-02-01 23:01:11,64.75,177.4833,23.5,50,43,26.84
224,Fort Frances,CA,2022-02-01 23:00:11,48.5999,-93.4003,4.15,71,75,7.0
225,Vereshchagino,RU,2022-02-01 23:01:12,58.0789,54.6557,27.25,95,100,11.99
226,Shingu,JP,2022-02-01 23:01:12,33.7333,135.9833,42.91,65,6,4.74
227,Mayo,US,2022-02-01 23:01:13,38.8876,-76.5119,39.24,72,0,5.41
228,Lagoa,PT,2022-02-01 23:02:12,39.05,-27.9833,58.53,74,66,15.82
229,Rawlins,US,2022-02-01 23:02:14,41.7911,-107.2387,23.22,38,40,9.22
230,Pundaguitan,PH,2022-02-01 23:02:14,6.3711,126.1689,79.95,77,97,14.54
231,Vigrestad,NO,2022-02-01 23:02:14,58.5667,5.7,42.01,79,49,36.6
232,Soller,ES,2022-02-01 23:00:55,39.7662,2.7152,54.91,75,0,8.81
233,Kruisfontein,ZA,2022-02-01 23:02:15,-34.0033,24.7314,73.89,66,100,4.43
234,Belmonte,BR,2022-02-01 23:02:15,-15.8631,-38.8828,79.38,84,1,8.55
235,Ulaanbaatar,MN,2022-02-01 23:00:19,47.9077,106.8832,-25.47,68,34,0.0
236,Piacabucu,BR,2022-02-01 23:02:16,-10.4056,-36.4344,79.65,74,4,9.66
237,Broome,US,2022-02-01 23:02:18,42.2506,-75.833,33.58,60,0,3.0
238,Provideniya,RU,2022-02-01 23:02:18,64.3833,-173.3,14.36,62,3,22.37
239,Yulara,AU,2022-02-01 23:02:19,-25.2406,130.9889,65.84,79,100,19.17
240,Lincoln,US,2022-02-01 22:58:53,40.8,-96.667,31.17,43,100,3.0
241,Chokurdakh,RU,2022-02-01 23:01:12,70.6333,147.9167,-13.76,94,100,5.37
242,Haines Junction,CA,2022-02-01 23:02:20,60.7522,-137.5108,-11.74,94,99,1.01
243,Saint-Philippe,RE,2022-02-01 23:02:21,-21.3585,55.7679,81.95,91,98,21.21
244,Coquimbo,CL,2022-02-01 23:02:21,-29.9533,-71.3436,65.91,79,57,6.76
245,Chokwe,MZ,2022-02-01 23:02:21,-24.5333,32.9833,75.78,76,0,6.15
246,Alekseyevka,RU,2022-02-01 23:02:22,50.6309,38.6903,9.99,100,73,4.74
247,Tongzi,CN,2022-02-01 23:02:22,28.7829,105.0877,42.42,88,100,0.81
248,College,US,2022-02-01 23:02:23,64.8569,-147.8028,4.23,67,5,2.08
249,Mandalgovi,MN,2022-02-01 23:02:23,45.7625,106.2708,-1.62,73,0,8.1
250,Hamilton,US,2022-02-01 23:00:30,39.1834,-84.5333,57.83,84,100,7.16
251,Mbaiki,CF,2022-02-01 23:02:24,3.8678,17.9892,69.67,26,41,1.5
252,Mareeba,AU,2022-02-01 23:02:24,-17.0,145.4333,82.49,92,79,5.37
253,Tandil,AR,2022-02-01 23:00:03,-37.3217,-59.1332,84.31,36,24,7.9
254,Chuy,UY,2022-02-01 23:02:25,-33.6971,-53.4616,64.33,67,0,7.56
255,Rovenki,UA,2022-02-01 23:02:25,48.0833,39.3776,30.38,97,100,8.21
256,Koindu,GN,2022-02-01 23:02:25,8.4386,-10.3253,70.48,23,99,1.12
257,Mont-De-Marsan,FR,2022-02-01 23:02:26,44.0,-0.6667,49.41,97,100,5.75
258,Kieta,PG,2022-02-01 23:02:26,-6.2167,155.6333,83.5,75,100,8.61
259,Shimoni,KE,2022-02-01 23:02:27,-4.6476,39.3817,77.04,87,60,6.06
260,Banda Aceh,ID,2022-02-01 23:02:27,5.5577,95.3222,76.91,79,21,2.95
261,Turukhansk,RU,2022-02-01 23:02:28,65.8167,87.9833,8.04,95,100,8.99
262,Richards Bay,ZA,2022-02-01 23:02:28,-28.783,32.0377,76.28,83,100,10.85
263,Saint-Pierre,RE,2022-02-01 23:02:28,-21.3393,55.4781,82.04,89,75,29.93
264,Luderitz,NA,2022-02-01 23:02:29,-26.6481,15.1594,64.76,88,43,5.21
265,Pacific Grove,US,2022-02-01 22:58:28,36.6177,-121.9166,62.87,40,0,1.99
266,Stokmarknes,NO,2022-02-01 23:02:29,68.5646,14.9108,24.78,58,0,20.71
267,Cidreira,BR,2022-02-01 23:02:30,-30.1811,-50.2056,72.46,73,5,11.36
268,Gornyye Klyuchi,RU,2022-02-01 23:02:31,45.25,133.5,1.62,98,100,4.59
269,Hailar,CN,2022-02-01 23:02:31,49.2,119.7,-13.94,99,99,4.61
270,Pemangkat,ID,2022-02-01 23:02:32,1.1667,108.9667,75.79,90,43,7.43
271,Yaounde,CM,2022-02-01 23:01:13,3.8667,11.5167,66.94,93,48,3.58
272,Henties Bay,NA,2022-02-01 23:02:32,-22.116,14.2845,68.86,80,14,2.82
